OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
339;"VOETBAL";"";"STRANDVLIETPAD";"Voetbal";"Plantsoen";"Geen";"Stoeptegels";"Nee";"Voetbalveld";815;"Strandvlietpad_1.jpg";"POINT(4.953447 52.320313)";4.953447;52.320313;4,953447;52,320313;
340;"VOETBAL";"";"SHAWSINGEL";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning";446;"BShawsingel_1.jpg";"POINT(4.945527 52.321866)";4.945527;52.321866;4,945527;52,321866;
341;"VOETBAL";"";"MAARSENHOF";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";1069;"Maarsenhof.jpg";"POINT(4.962904 52.303783)";4.962904;52.303783;4,962904;52,303783;
342;"VOETBAL";"";"MILLINGENHOF";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";400;"Millingenhof.jpg";"POINT(4.967327 52.296483)";4.967327;52.296483;4,967327;52,296483;
343;"VOETBAL";"";"OMMERENHOF";"Voetbal";"Plantsoen";"Ballenvangers";"Stoeptegels";"Nee";"Voetbalveld";352;"Ommerenhof.jpg";"POINT(4.965601 52.294599)";4.965601;52.294599;4,965601;52,294599;
344;"VOETBAL";"";"TJEPMAPAD";"Voetbal";"Plantsoen";"Ballenvangers";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";836;"Tjepmapad.jpg";"POINT(4.965151 52.294103)";4.965151;52.294103;4,965151;52,294103;
345;"VOETBAL";"";"TOUTENBURGSTRAAT";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";824;"Toutenburgstraat.jpg";"POINT(4.968376 52.292478)";4.968376;52.292478;4,968376;52,292478;
346;"VOETBAL";"";"SALENTEINPAD";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";519;"Salenteinpad.jpg";"POINT(4.968301 52.291184)";4.968301;52.291184;4,968301;52,291184;
347;"VOETBAL";"";"SCHOVENHORSTPAD";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, kleine doelen, zitbanken naast veld";508;"Schovenhorstpad.jpg";"POINT(4.971534 52.29027)";4.971534;52.29027;4,971534;52,29027;
348;"VOETBAL";"";"SNODENHOEKPARK";"Voetbal";"Plantsoen";"Geen";"Zand";"Nee";"Voetbalveld, zitbanken naast veld";1282;"Snodenhoekpark_1.jpg";"POINT(4.974841 52.290811)";4.974841;52.290811;4,974841;52,290811;
349;"VOETBAL";"";"SCHONERWOERDSTRAAT";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";1193;"Schonerwoerdstraat_1.jpg";"POINT(4.975419 52.293321)";4.975419;52.293321;4,975419;52,293321;
350;"VOETBAL";"";"SOESTERBERGHOF";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld, kleine doelen";1478;"Soesterberghof.jpg";"POINT(4.981911 52.29506)";4.981911;52.29506;4,981911;52,29506;
351;"VOETBAL";"";"STOUTENBURGGRACHT";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";1101;"Stoutenburggracht.jpg";"POINT(4.983586 52.294616)";4.983586;52.294616;4,983586;52,294616;
352;"VOETBAL";"";"WOUDRICHEMSTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning";1320;"Woudrichemstraat.jpg";"POINT(4.986882 52.293216)";4.986882;52.293216;4,986882;52,293216;
353;"VOETBAL";"";"DRIESSENSTRAAT";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";1166;"WDriessenstraat.jpg";"POINT(4.985599 52.290821)";4.985599;52.290821;4,985599;52,290821;
